@relation anime_rating

@attribute Director {A, B, C, D, E, F}
@attribute Storyboard {A, B, C, D, E, F}
@attribute CharacterDesign {A, B, C, D, E, F}
@attribute SoundDirector {A, B, C, D, E, F}
@attribute Producer {A, B, C, D, E, F}
@attribute AnimationProducer {A, B, C, D, E, F}
@attribute VoiceActor {A, B, C, D, E, F}
@attribute Class {A, B, C, D, E, F}

@data
B, C, B, C, C, C, B, C
D, D, D, B, C, C, C, D
B, B, B, C, C, B, B, B
C, B, B, B, B, B, C, B
B, B, B, C, B, B, B, B
B, C, B, C, C, C, B, B
B, C, B, B, B, B, B, B
D, C, D, C, D, D, B, D
B, B, B, B, B, B, B, B
C, C, D, B, F, C, C, D
C, C, B, C, C, C, C, C
A, B, B, B, B, B, B, B
C, B, B, C, C, C, C, C
C, C, C, C, C, C, B, B
D, C, C, C, C, C, C, C
B, B, B, B, B, B, C, B
B, B, B, C, B, B, C, B
D, C, C, C, D, B, C, E
C, D, B, C, B, B, B, B
B, B, B, B, A, B, B, A
D, C, C, C, C, C, C, D
B, B, B, C, C, B, B, B
B, B, B, C, C, D, B, B
C, C, C, B, C, B, C, C
C, C, D, D, D, C, E, D
C, C, C, D, C, C, D, D
E, C, D, C, D, D, C, E
C, B, B, B, B, B, B, B
B, B, B, C, B, C, B, B
B, B, B, C, B, B, B, B
B, C, D, D, C, B, C, D
B, C, B, C, B, B, C, B
D, E, C, C, C, C, C, D
B, B, B, C, B, B, B, B
C, C, C, C, C, C, F, C
C, B, B, B, B, C, B, B
B, B, C, A, C, B, B, C
B, B, B, B, B, B, B, B
B, B, B, C, B, B, B, B
C, C, C, C, C, C, C, C
B, B, B, C, C, B, C, B
B, C, C, B, C, C, C, C
A, B, B, B, B, B, B, B
B, C, A, C, B, B, B, B
C, C, B, C, C, B, B, B
C, D, C, B, C, C, B, B
C, C, C, B, C, C, C, C
C, B, C, C, C, B, C, C
B, B, B, B, C, B, B, B
B, B, B, C, B, C, B, B
C, D, E, D, C, B, C, E
B, B, B, C, B, B, C, B
B, B, B, B, B, B, C, B
B, B, B, C, C, B, B, B
C, C, D, C, C, B, D, D
C, C, C, C, C, C, C, D
A, A, B, B, B, B, B, A
A, A, B, B, B, B, B, A
B, B, B, B, B, B, C, C
B, B, D, B, C, B, C, C
B, C, B, C, C, B, C, D
C, B, B, C, C, B, C, C
B, B, B, B, B, C, B, B
C, B, C, C, C, C, B, B
B, C, C, B, C, C, C, C
B, B, B, B, B, C, C, B
B, B, A, B, B, B, B, B
B, B, B, B, C, B, C, C
B, C, C, B, C, C, C, B
B, B, C, B, C, B, C, B
C, C, C, C, B, B, C, C
C, C, C, B, C, C, C, C
C, D, D, D, D, D, C, D
B, B, B, C, E, B, C, B
B, B, C, B, C, B, B, B
C, C, D, C, B, B, B, C
C, D, B, C, B, B, B, B
C, D, D, D, D, D, E, D
C, C, C, C, B, C, C, C
B, B, A, C, A, B, B, A
D, C, E, C, D, B, C, E
C, B, B, C, B, C, B, B
C, B, B, C, B, C, B, B
B, C, B, B, F, C, C, B
B, C, B, B, B, B, B, B
A, A, B, B, A, B, B, A
A, B, B, B, B, B, B, B
C, C, C, C, C, B, C, C
C, B, B, B, B, B, C, C
C, C, D, D, C, C, C, D
B, B, C, C, B, C, B, B
B, B, B, B, B, B, B, B
B, B, B, B, B, B, B, B
B, B, B, C, B, B, B, B
C, C, C, B, C, C, C, C
B, B, B, C, B, B, B, B
D, B, D, D, D, B, C, D
B, B, B, B, B, B, B, C
B, B, B, B, A, B, C, B
B, B, B, B, B, B, C, B
E, E, E, E, E, E, D, E
A, B, A, C, B, A, B, A
A, B, A, C, B, A, B, A
C, C, C, C, C, C, C, C
A, B, B, B, B, B, B, B
B, D, D, C, C, C, C, D
B, D, B, C, C, C, B, C
B, B, B, C, C, A, B, B
C, C, B, C, C, C, C, C
C, B, C, C, C, B, B, C
C, C, C, B, C, C, C, C
C, C, C, B, C, C, C, C
C, C, C, C, C, C, C, C
D, C, D, B, C, C, C, D
B, B, B, C, B, C, B, B
B, C, C, D, C, B, C, D
B, C, C, C, C, B, C, C
B, B, C, A, B, B, B, A
A, B, A, B, B, B, B, A
C, C, C, C, C, B, C, C
D, C, D, C, C, C, C, D
B, D, B, C, B, B, C, B
C, C, C, B, C, C, B, B
C, C, C, C, C, C, C, C
C, C, C, B, C, C, C, C
C, C, C, C, B, B, B, B
B, C, B, C, B, B, B, B
C, C, C, C, C, C, C, D
C, C, C, D, C, C, C, D
C, C, C, C, B, B, C, C
D, C, D, C, D, C, C, C
C, C, D, B, C, C, C, B
B, B, B, B, B, B, B, B
C, C, C, D, C, B, C, C
B, B, B, B, B, B, B, B
D, D, C, D, C, C, C, C
B, C, C, C, F, B, B, C
B, B, B, B, B, B, B, B
C, D, C, C, C, C, C, D
B, B, B, B, F, B, B, B
B, B, B, B, E, B, C, B
B, B, C, B, C, C, B, C
B, B, B, C, B, B, C, B
D, C, D, C, D, C, C, E
A, B, C, C, B, A, B, A
C, C, D, D, D, C, C, D
D, C, D, C, C, C, C, D
C, D, D, D, D, D, C, C
B, B, D, B, C, C, B, C
B, B, B, C, B, B, B, B
C, C, B, C, B, B, C, D
B, B, B, B, C, B, C, B
B, B, C, B, B, B, B, B
C, C, B, C, C, C, C, C
B, B, B, B, B, B, B, B
B, B, C, B, B, B, B, B
F, F, B, C, C, C, C, C
C, C, C, B, B, C, C, C
B, C, C, C, B, C, B, B
A, B, B, B, B, B, B, A
D, B, D, C, C, B, C, D
B, E, D, E, D, B, C, E
C, B, B, C, C, B, C, C
C, C, D, C, C, D, C, D
C, B, C, B, C, B, C, C
B, B, B, C, B, B, C, B
C, C, C, C, C, B, C, C
B, C, C, C, C, C, C, C
B, B, B, B, B, B, C, B
C, C, C, C, B, B, C, C
B, C, C, B, C, B, C, D
B, B, A, B, B, B, C, B
B, B, A, B, B, B, B, A
C, C, B, C, B, B, B, B
C, C, D, B, C, C, C, E
B, B, B, B, B, B, B, B
C, C, D, D, D, C, C, D
B, B, B, C, D, B, C, C
C, C, D, D, C, B, C, D
A, B, B, B, B, B, B, A
B, B, B, B, B, B, B, B
B, B, B, B, B, B, C, A
D, C, C, D, C, D, C, D
C, B, B, C, B, B, B, B
C, C, C, B, C, C, C, D
D, B, D, C, C, D, C, D
